Month,Mbbls_per_day
01/05/1950,159558
01/04/1950,149147
01/03/1950,151301
01/02/1950,139127
01/01/1950,152935
01/12/1949,155830
01/11/1949,156496
01/10/1949,155469
01/09/1949,148286
01/08/1949,148356
01/07/1949,145530
01/06/1949,147283
01/05/1949,154250
01/04/1949,150343
01/03/1949,162399
01/02/1949,150682
01/01/1949,167016
01/12/1948,177386
01/11/1948,170777
01/10/1948,174972
01/09/1948,163244
01/08/1948,173015
01/07/1948,171369
01/06/1948,166448
01/05/1948,170705
01/04/1948,164726
01/03/1948,167868
01/02/1948,155577
01/01/1948,164098
01/12/1947,165555
01/11/1947,158701
01/10/1947,165032
01/09/1947,157665
01/08/1947,160448
01/07/1947,159366
01/06/1947,153058
01/05/1947,156055
01/04/1947,149410
01/03/1947,152178
01/02/1947,134696
01/01/1947,144823
01/12/1946,146471
01/11/1946,144674
01/10/1946,148323
01/09/1946,143708
01/08/1946,149910
01/07/1946,152586
01/06/1946,146890
01/05/1946,148334
01/04/1946,140196
01/03/1946,136835
01/02/1946,132129
01/01/1946,143368
01/12/1945,138627
01/11/1945,135511
01/10/1945,132800
01/09/1945,132690
01/08/1945,151198
01/07/1945,151803
01/06/1945,145783
01/05/1945,151180
01/04/1945,144219
01/03/1945,148935
01/02/1945,133463
01/01/1945,147446
01/12/1944,145322
01/11/1944,142463
01/10/1944,146911
01/09/1944,142985
01/08/1944,145407
01/07/1944,141438
01/06/1944,137263
01/05/1944,141189
01/04/1944,133588
01/03/1944,136814
01/02/1944,128842
01/01/1944,135682
01/12/1943,135288
01/11/1943,133824
01/10/1943,136837
01/09/1943,130564
01/08/1943,130796
01/07/1943,127629
01/06/1943,120111
01/05/1943,123957
01/04/1943,119100
01/03/1943,121648
01/02/1943,108487
01/01/1943,117372
01/12/1942,120519
01/11/1942,116101
01/10/1942,120311
01/09/1942,115801
01/08/1942,120429
01/07/1942,111782
01/06/1942,108595
01/05/1942,110192
01/04/1942,105053
01/03/1942,114473
01/02/1942,113961
01/01/1942,128262
01/12/1941,128293
01/11/1941,123355
01/10/1941,126145
01/09/1941,119446
01/08/1941,121354
01/07/1941,118251
01/06/1941,115027
01/05/1941,116976
01/04/1941,111080
01/03/1941,112817
01/02/1941,100791
01/01/1941,110647
01/12/1940,135152
01/11/1940,133646
01/10/1940,136503
01/09/1940,130407
01/08/1940,130633
01/07/1940,127493
01/06/1940,119302
01/05/1940,123854
01/04/1940,119000
01/03/1940,121560
01/02/1940,108399
01/01/1940,117227
01/12/1939,114810
01/11/1939,111887
01/10/1939,114198
01/09/1939,108168
01/08/1939,80865
01/07/1939,110937
01/06/1939,104607
01/05/1939,110541
01/04/1939,105510
01/03/1939,106768
01/02/1939,93475
01/01/1939,102490
01/12/1938,102287
01/11/1938,98567
01/10/1938,101830
01/09/1938,98661
01/08/1938,106165
01/07/1938,102898
01/06/1938,94277
01/05/1938,98674
01/04/1938,102702
01/03/1938,106524
01/02/1938,94662
01/01/1938,106007
01/12/1937,106579
01/11/1937,104206
01/10/1937,110911
01/09/1937,109980
01/08/1937,115090
01/07/1937,110721
01/06/1937,105812
01/05/1937,110911
01/04/1937,104979
01/03/1937,106724
01/02/1937,93173
01/01/1937,98567
01/12/1936,97652
01/11/1936,91018
01/10/1936,95795
01/09/1936,90972
01/08/1936,95090
01/07/1936,92075
01/06/1936,90185
01/05/1936,93739
01/04/1936,90479
01/03/1936,90568
01/02/1936,82120
01/01/1936,88820
01/12/1935,88711
01/11/1935,86476
01/10/1935,88160
01/09/1935,84109
01/08/1935,84816
01/07/1935,85485
01/06/1935,82338
01/05/1935,82454
01/04/1935,78427
01/03/1935,81488
01/02/1935,72763
01/01/1935,78715
01/12/1934,74797
01/11/1934,72399
01/10/1934,76593
01/09/1934,75759
01/08/1934,79105
01/07/1934,81339
01/06/1934,79636
01/05/1934,79966
01/04/1934,75645
01/03/1934,75426
01/02/1934,65383
01/01/1934,72017
01/12/1933,72157
01/11/1933,69966
01/10/1933,76077
01/09/1933,78321
01/08/1933,85485
01/07/1933,85321
01/06/1933,84386
01/05/1933,86638
01/04/1933,65709
01/03/1933,75185
01/02/1933,61252
01/01/1933,65159
01/12/1932,58295
01/11/1932,63630
01/10/1932,65598
01/09/1932,65518
01/08/1932,66568
01/07/1932,66655
01/06/1932,65144
01/05/1932,68854
01/04/1932,67915
01/03/1932,67456
01/02/1932,62512
01/01/1932,67014
01/12/1931,73327
01/11/1931,73456
01/10/1931,73297
01/09/1931,64378
01/08/1931,68014
01/07/1931,78210
01/06/1931,75011
01/05/1931,76822
01/04/1931,72860
01/03/1931,69429
01/02/1931,60540
01/01/1931,65737
01/12/1930,66972
01/11/1930,67957
01/10/1930,72893
01/09/1930,71216
01/08/1930,74831
01/07/1930,76922
01/06/1930,77060
01/05/1930,80528
01/04/1930,77483
01/03/1930,78226
01/02/1930,74290
01/01/1930,79633
01/12/1929,80917
01/11/1929,78758
01/10/1929,88430
01/09/1929,87453
01/08/1929,92165
01/07/1929,91309
01/06/1929,83407
01/05/1929,84499
01/04/1929,80412
01/03/1929,82463
01/02/1929,75456
01/01/1929,82054
01/12/1928,79493
01/11/1928,76123
01/10/1928,79751
01/09/1928,76484
01/08/1928,77807
01/07/1928,75584
01/06/1928,72676
01/05/1928,75277
01/04/1928,72393
01/03/1928,74528
01/02/1928,68565
01/01/1928,72793
01/12/1927,74951
01/11/1927,74493
01/10/1927,77534
01/09/1927,75909
01/08/1927,78788
01/07/1927,78780
01/06/1927,75303
01/05/1927,76845
01/04/1927,73132
01/03/1927,75514
01/02/1927,68122
01/01/1927,71758
01/12/1926,72625
01/11/1926,69891
01/10/1926,69664
01/09/1926,65782
01/08/1926,67009
01/07/1926,65168
01/06/1926,61789
01/05/1926,62822
01/04/1926,60371
01/03/1926,60880
01/02/1926,54892
01/01/1926,59981
01/12/1925,49622
01/11/1925,49921
01/10/1925,51769
01/09/1925,51559
01/08/1925,52198
01/07/1925,52138
01/06/1925,51915
01/05/1925,53367
01/04/1925,51914
01/03/1925,53597
01/02/1925,48571
01/01/1925,53802
01/12/1924,57433
01/11/1924,56782
01/10/1924,60469
01/09/1924,60376
01/08/1924,62398
01/07/1924,61932
01/06/1924,59583
01/05/1924,61834
01/04/1924,59830
01/03/1924,60141
01/02/1924,55889
01/01/1924,57273
01/12/1923,59546
01/11/1923,65388
01/10/1923,67506
01/09/1923,65306
01/08/1923,66422
01/07/1923,65925
01/06/1923,62845
01/05/1923,62377
01/04/1923,59008
01/03/1923,56969
01/02/1923,48588
01/01/1923,52527
01/12/1922,50642
01/11/1922,48027
01/10/1922,48410
01/09/1922,45805
01/08/1922,47059
01/07/1922,47134
01/06/1922,46087
01/05/1922,47002
01/04/1922,45167
01/03/1922,47188
01/02/1922,41314
01/01/1922,43696
01/12/1921,42173
01/11/1921,38108
01/10/1921,35832
01/09/1921,36763
01/08/1921,41109
01/07/1921,40461
01/06/1921,40548
01/05/1921,42189
01/04/1921,40233
01/03/1921,41105
01/02/1921,35524
01/01/1921,38138
01/12/1920,38961
01/11/1920,38609
01/10/1920,39584
01/09/1920,37521
01/08/1920,38906
01/07/1920,37746
01/06/1920,36663
01/05/1920,36622
01/04/1920,34945
01/03/1920,36171
01/02/1920,33193
01/01/1920,34008
