,api,reported_fluid_type,lease_name,well_num,6mo_oil_x,6mo_time,1_mo_oil,1_mo_gas,2_mo_oil,2_mo_gas,cum_oil_x,cum_gas,formation,top_d,btm_d,operator,basin,td,tvd,elevation,spud_date,surf_lat,surf_long,btm_lat,btm_long,total_prop,total_fluid_pumped,stages_2,initial_GOR,calculated_LL,offset_dist,parent_6_mo,parent_cum_oil
52,42255334790000,O,GENELLE UNIT C,3,74576,6,3581,3814,17968,22519,165811,263424,EAGLE FORD,12524,16176,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),16368,12480,290.0,6/1/2014,28.946319399999997,-97.8302,28.939268900000002,-97.8209307,5642000,71491,1.0,1065.065624,3921.045974,455.0986122640979,108162,320135
53,42255334980000,O,GENELLE UNIT C,4,84774,6,19258,32372,18963,29913,270083,464624,EAGLE FORD,13106,17746,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18026,12432,269.6,6/21/2014,28.929016600000004,-97.8074556,28.941334,-97.8188509,7188000,90860,1.0,1680.963755,5782.092496,669.5209650599118,108162,320135
54,42123327670000,G,HOOKS,2,114364,6,5197,17484,19803,84061,498724,2343941,EAGLE FORD,13241,17769,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17982,12642,257.0,9/6/2012,29.2,-97.40388890000001,29.214744699999997,-97.408263,3790000,82175,1.0,3364.2486049999998,5556.802582,1456.6924257470703,106153,414091
56,42123344120000,G,HOOKS,208,204824,6,381,1609,44443,152366,381879,1775123,EAGLE FORD,13125,18345,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18722,12642,305.0,7/21/2017,29.204408299999997,-97.3959886,29.218643300000004,-97.40382650000001,13494000,201478,1.0,4223.097113000001,5762.040777,301.1354577946574,106153,414091
57,42123344130000,G,HOOKS,209,204319,6,102,606,43155,156262,371340,1722400,EAGLE FORD,13258,18589,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18755,12702,305.0,7/23/2017,29.2043583,-97.3960194,29.2190565,-97.4030078,13448000,242142,1.0,5941.176471,5805.841384,301.1354577946574,106153,414091
58,42123344150000,G,HOOKS,211,201296,6,942,3260,41459,144083,343811,1595855,EAGLE FORD,13070,18417,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18704,12642,305.0,7/27/2017,29.204213899999996,-97.3961083,29.2194912,-97.4020691,14250000,271812,1.0,3460.721868,5888.039789,338.36330909486423,106153,414091
59,42123344160000,G,HOOKS,212,195776,6,842,3323,38847,144803,380010,1777847,EAGLE FORD,13182,18641,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18802,12706,305.0,7/24/2017,29.204,-97.395,29.219648699999997,-97.4001224,14368000,261080,1.0,3946.5558189999997,5937.643164,587.2232440094399,106153,414091
60,42123344170000,G,HOOKS,213,178069,6,110,356,27305,92047,266735,1227485,EAGLE FORD,13086,17266,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17843,12625,305.0,7/26/2017,29.204263899999997,-97.3960786,29.2180934,-97.4005972,10828000,158378,1.0,3236.363636,5246.6537880000005,587.2232440094399,106153,414091
61,42123333040000,O,J BOWEN UNIT A,2,83181,6,16519,27548,15217,23881,305306,704668,EAGLE FORD,12881,18566,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18775,13010,402.0,7/3/2014,29.164183299999998,-97.4811083,29.1559868,-97.4694406,7968000,111114,1.0,1667.655427,4770.804156,202.82066285896636,130533,406801
62,42123333050000,O,J BOWEN UNIT A,3,70538,6,6571,12145,12106,24201,276483,601272,EAGLE FORD,12996,18574,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18862,13063,402.0,6/30/2014,29.164147200000002,-97.4810583,29.1555076,-97.4697633,8364000,112041,1.0,1848.2727129999998,4783.818449,202.82066285896636,130533,406801
